Entity,Year,"Electricity from wind (TWh)","Electricity from hydro (TWh)","Electricity from solar (TWh)","Electricity from other renewables including bioenergy (TWh)"
Denmark,2020,16.33,0.02,1.18,5.92
Djibouti,2020,0,0,0,0
Dominica,2020,0,0.04,0,0
"Dominican Republic",2020,0.55,0.12,0.26,0.35
"Eastern Africa",2020,1.968,72.678,0.821,7.117
Ecuador,2020,0.08,24.79,0.04,1.29
Egypt,2020,4,12.09,1.5,0
"El Salvador",2020,0,1.99,0.5,2.15
"Equatorial Guinea",2020,0,0.12,0,0
Eritrea,2020,0,0,0.03,0
Estonia,2020,0.84,0.03,0.12,1.85
Eswatini,2020,0,0.16,0,0.46
Ethiopia,2020,0.53,13.56,0.02,0.03
Europe,2020,487.78,775.34,168.21,216.85
"European Union (27)",2020,397.41,346.28,144.22,169.88
"Faeroe Islands",2020,0.06,0.11,0,0
"Falkland Islands",2020,0.01,0,0,0
Fiji,2020,0,0.5,0.02,0.14
Finland,2020,7.94,15.88,0.22,11.57
France,2020,39.79,62.06,13.4,9.46
"French Guiana",2020,0,0.44,0.05,0.01
"French Polynesia",2020,0,0.18,0.04,0
G20,2020,1522.95,3369.08,773.37,634.39
G7,2020,647.17,886.74,313.94,260.13
Gabon,2020,0,1.74,0,0.02
Gambia,2020,0,0,0,0
Georgia,2020,0.09,8.25,0,0
Germany,2020,132.1,18.32,48.64,51.09
Ghana,2020,0,7.21,0.06,0.03
Greece,2020,9.31,3.3,4.45,0.45
Greenland,2020,0,0.5,0,0
Grenada,2020,0,0,0,0
Guadeloupe,2020,0.05,0.03,0.1,0.38
Guam,2020,0,0,0.07,0
Guatemala,2020,0.31,5.77,0.22,2.23
Guinea,2020,0,2.47,0.02,0
Guinea-Bissau,2020,0,0,0,0
Guyana,2020,0,0,0.02,0.14
Haiti,2020,0,0.13,0,0
"High-income countries",2020,897.83,1359.83,434.14,385.51
Honduras,2020,0.82,2.7,1.12,1.23
"Hong Kong",2020,0,0,0.01,0
Hungary,2020,0.65,0.24,2.46,2.17
Iceland,2020,0.01,13.16,0,5.96
India,2020,60.43,163.64,58.68,32.098
Indonesia,2020,0.47,19.45,0.05,15.882
Iran,2020,0.56,27.7,0.44,0.02
Iraq,2020,0,1.8,0.06,0
Ireland,2020,11.55,0.93,0.06,0.94
Israel,2020,0.23,0.02,4.07,0.1
Italy,2020,18.76,47.55,24.94,25.65
Jamaica,2020,0.27,0.16,0.05,0.13
Japan,2020,8.65,89.17,78.64,54.98
Jordan,2020,0.88,0.03,2.2,0.06
Kazakhstan,2020,1.14,9.8,2.57,0.005
Kenya,2020,1.16,3.52,0.11,5.11
Kiribati,2020,0,0,0,0
Kosovo,2020,0.09,0.26,0.01,0
Kuwait,2020,0.04,0,0.02,0
Kyrgyzstan,2020,0,14.8,0,0
Laos,2020,0,19.2,0.04,0.22
"Latin America and Caribbean",2020,106.8,734.63,38.3,86.67
Latvia,2020,0.18,2.6,0,0.86
Lebanon,2020,0.01,0.97,0.09,0.06
Lesotho,2020,0,0.5,0,0
Liberia,2020,0,0.53,0,0
Libya,2020,0,0,0.01,0
Lithuania,2020,1.55,0.3,0.13,0.59
"Low-income countries",2020,0.55,69.53,1.04,1.4
"Lower-middle-income countries",2020,82.81,489.12,79.04,76.48
Luxembourg,2020,0.35,0.09,0.16,0.37
Macao,2020,0,0,0,0
Madagascar,2020,0,0.81,0.02,0
Malawi,2020,0,1.3,0.05,0.02
Malaysia,2020,0,15.8,1,1.78
Maldives,2020,0,0,0,0
Mali,2020,0,0.95,0.03,0.19
Malta,2020,0,0,0.21,0.01
Martinique,2020,0.01,0,0,0.13
Mauritania,2020,0.12,0.21,0.14,0
Mauritius,2020,0.02,0.1,0.15,0.33
Mexico,2020,19.7,23.12,13.53,16.41
"Middle Africa",2020,0.009,30.475,0.068,0.051
"Middle East",2020,1.72,31.27,12.22,0.29
Moldova,2020,0.05,0.2,0,0.01
Mongolia,2020,0.55,0.09,0.09,0
Montenegro,2020,0.32,1.45,0,0
Montserrat,2020,0,0,0,0
Morocco,2020,4.59,1.55,0.38,0.04
Mozambique,2020,0,14.17,0.04,0.14
Myanmar,2020,0,11,0.02,0.32
Namibia,2020,0,0.95,0.05,0
Nauru,2020,0,0,0,0
Nepal,2020,0.01,3,0.08,0
Netherlands,2020,15.34,0.05,8.77,8.85
"New Caledonia",2020,0.05,0.22,0,0
"New Zealand",2020,2.3,23.98,0.16,8.81
Nicaragua,2020,0.73,0.57,0.02,1.31
Niger,2020,0,0,0.02,0
Nigeria,2020,0,6.1,0.04,0.02
Non-OECD,2020,658.27,2817.107,400.019,300.084
"North America",2020,401.31,713.85,151.75,109.75
"North Korea",2020,0,12.2,0.02,0
"North Macedonia",2020,0.12,1.28,0.02,0.06
Norway,2020,9.91,140.93,0.03,0.24
OECD,2020,931.25,1498.3,445.77,414.92
Oceania,2020,22.75,40.87,21.34,12.17
Oman,2020,0,0,0,0
Pakistan,2020,3.3,37.38,1.2,1.18
Palestine,2020,0,0,0,0
Panama,2020,0.7,7.25,0.3,0.08
"Papua New Guinea",2020,0,0.8,0,0.08
Paraguay,2020,0,49.34,0,0
Peru,2020,1.81,29.04,0.8,0.53
Philippines,2020,1.05,7.79,1.25,12.71
Poland,2020,15.8,2.12,1.96,8.35
Portugal,2020,12.3,12.08,1.72,4.01
"Puerto Rico",2020,2.5,0.05,0.25,0.01
Qatar,2020,0,0,0.01,0.03
Reunion,2020,0.01,0.49,0.25,0.54
Romania,2020,6.95,15.38,1.73,0.55
Russia,2020,1.14,196,1.86,0.9
Rwanda,2020,0,0.45,0.05,0.01
"Saint Kitts and Nevis",2020,0.01,0,0,0
"Saint Lucia",2020,0,0,0,0
"Saint Pierre and Miquelon",2020,0,0,0,0
"Saint Vincent and the Grenadines",2020,0,0.04,0,0
Samoa,2020,0,0.04,0,0.01
"Sao Tome and Principe",2020,0,0.01,0,0
"Saudi Arabia",2020,0,0,1.04,0
Senegal,2020,0.02,0.31,0.3,0.1
Serbia,2020,0.98,9.03,0.01,0.19
Seychelles,2020,0,0,0,0
"Sierra Leone",2020,0,0.18,0.01,0
Singapore,2020,0,0,0.62,0.41
Slovakia,2020,0,4.61,0.66,1.67
Slovenia,2020,0.01,4.93,0.37,0.27
"Solomon Islands",2020,0,0,0,0
Somalia,2020,0.01,0,0.01,0
"South Africa",2020,5.94,5.67,3.6,0.41
"South America",2020,79.53,684.23,21.55,57.76
"South Korea",2020,3.15,7.1,18.25,20.42
"South Sudan",2020,0,0,0,0
Spain,2020,56.44,30.51,20.67,6.17
"Sri Lanka",2020,0.35,4.9,0.11,0.25
Sudan,2020,0,7.75,0.02,0.71
Suriname,2020,0,1.36,0.01,0
Sweden,2020,27.53,72.39,1.05,11.18
Switzerland,2020,0.14,40.62,2.52,0.21
Syria,2020,0,0.75,0,0.01
Taiwan,2020,2.42,6.18,6.09,1.96
Tajikistan,2020,0,17,0,0
Tanzania,2020,0,2.35,0.09,0.57
Thailand,2020,3.08,4.54,4.93,13.61
Togo,2020,0,0.09,0,0
Tonga,2020,0,0,0,0
"Trinidad and Tobago",2020,0,0,0,0.02
Tunisia,2020,0.5,0.06,0.25,0
Turkey,2020,24.83,78.09,10.95,14.47
Turkmenistan,2020,0,0,0,0
"Turks and Caicos Islands",2020,0,0,0,0
Uganda,2020,0,4.03,0.07,0.28
Ukraine,2020,3.27,7.56,5.97,0.76
"United Arab Emirates",2020,0,0,3.78,0.01
"United Kingdom",2020,73.83,6.69,13.32,38.11
"United States",2020,337.94,279.95,130.72,70.59
"United States Virgin Islands",2020,0,0,0.01,0
"Upper-middle-income countries",2020,605.59,2320.37,319.99,248.45
Uruguay,2020,5.44,3.95,0.46,0.88
Uzbekistan,2020,0,6.9,0.01,0
Vanuatu,2020,0,0,0.01,0.01
Venezuela,2020,0.09,72,0.01,0
Vietnam,2020,0.72,51.98,4.9,0
"Western Africa",2020,0.183,22.292,0.68,0.271
World,2020,1586.94,4311.81,834.63,712.9
Yemen,2020,0,0,0.5,0
Zambia,2020,0,13.67,0.15,0.16
Zimbabwe,2020,0,7.26,0.01,0.38
