Entity,Year,"Electricity from wind (TWh)","Electricity from hydro (TWh)","Electricity from solar (TWh)","Electricity from other renewables including bioenergy (TWh)"
Canada,2005,1.57,358.3,0.02,8.76
Mexico,2005,0.02,27.38,0.01,14.88
"United States",2005,17.81,263.76,0.55,68.97
Canada,2006,2.47,349.32,0.02,8.47
Mexico,2006,0.06,30.09,0.01,13.47
"United States",2006,26.59,282.69,0.51,69.43
Canada,2007,3.01,363.91,0.03,8.33
Mexico,2007,0.26,27,0.01,14.87
"United States",2007,34.45,240.61,0.61,70.18
Canada,2008,3.79,373.68,0.04,7.7
Mexico,2008,0.27,38.79,0.01,14.15
"United States",2008,55.36,248.54,0.86,69.87
Canada,2009,6.64,364.96,0.1,10.48
Mexico,2009,0.6,26.45,0.01,13.53
"United States",2009,73.89,268.82,0.89,69.5
Canada,2010,8.72,347.87,0.25,12.52
Mexico,2010,1.24,36.79,0.03,13.54
"United States",2010,94.65,254.7,1.21,71.31
Canada,2011,10.19,371.97,0.57,11.92
Mexico,2011,1.65,35.93,0.04,13.62
"United States",2011,120.18,312.93,1.82,71.99
Canada,2012,11.31,376.46,0.87,12.89
Mexico,2012,3.69,31.59,0.07,12.35
"United States",2012,140.82,271.29,4.33,73.18
Canada,2013,18.09,387.87,1.48,12.67
Mexico,2013,4.18,27.72,0.11,12.82
"United States",2013,167.84,263.88,9.04,76.63
Canada,2014,22.54,378.68,2.1,11.34
Mexico,2014,6.43,38.55,0.22,12.52
"United States",2014,181.66,253.19,28.92,79.87
Canada,2015,26.96,378.37,2.87,9.45
Mexico,2015,8.74,30.61,0.24,13.34
"United States",2015,190.72,243.99,39.03,79.55
Canada,2016,30.93,381.58,3.99,10.9
Mexico,2016,10.38,29.74,0.46,13.16
"United States",2016,226.99,261.13,54.87,78.59
Canada,2017,31.51,390.64,3.54,6.52
Mexico,2017,10.44,31.74,1.09,13.34
"United States",2017,254.3,293.84,77.28,78.66
Canada,2018,33.18,382.02,3.76,10.04
Mexico,2018,12.88,32.38,1.36,26.25
"United States",2018,272.67,286.62,93.36,77.8
Canada,2019,32.66,377.98,4.08,9.89
Mexico,2019,16.88,23.85,7.06,26.46
"United States",2019,295.88,282.61,106.89,72.98
Canada,2020,36.1,383,4.28,10.25
Mexico,2020,19.7,23.12,13.53,16.41
"United States",2020,337.94,279.95,130.72,70.59
Canada,2021,36.54,377.87,4.45,10.52
Mexico,2021,21.06,31.01,17.07,16.09
"United States",2021,379.77,255.11,163.7,71.72
